2024-05-14 22:17:28.665 INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2024-05-14 22:17:28.668 INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2024-05-14 22:17:28.668 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Starting...
2024-05-14 22:17:28.677 INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-3 - Added connection com.mysql.cj.jdbc.ConnectionImpl@4f1b9fea
2024-05-14 22:17:28.677 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Start completed.
2024-05-14 22:17:28.678 WARN  org.hibernate.orm.deprecation - HHH90000025: MySQLDialect does not need to be specified explicitly using 'hibernate.dialect' (remove the property setting and it will be selected by default)
2024-05-14 22:17:28.738 INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2024-05-14 22:17:28.766 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2024-05-14 22:17:28.982 WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2024-05-14 22:17:29.083 INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@43915855, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@3506f919, org.springframework.security.web.context.SecurityContextHolderFilter@2583d3d2, org.springframework.security.web.header.HeaderWriterFilter@612426af, org.springframework.web.filter.CorsFilter@642c8160, org.springframework.security.web.authentication.logout.LogoutFilter@fa40c1, org.springframework.security.oauth2.server.resource.web.authentication.BearerTokenAuthenticationFilter@113ffefb, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@6ff5cd1d, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@2f249f12, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@76aacbbd, org.springframework.security.web.session.SessionManagementFilter@3b15ef22, org.springframework.security.web.access.ExceptionTranslationFilter@19ca6ed9, org.springframework.security.web.access.intercept.AuthorizationFilter@4af123df]
2024-05-14 22:17:29.186 INFO  o.s.b.d.a.OptionalLiveReloadServer - LiveReload server is running on port 35729
2024-05-14 22:17:29.193 INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2024-05-14 22:17:29.195 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path ''
2024-05-14 22:17:29.199 INFO  e.e.e.ErezProjectApplication - Started ErezProjectApplication in 0.954 seconds (process running for 107.542)
2024-05-14 22:17:29.205 INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
2024-05-14 22:20:14.287 INFO  o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener - Restarting due to 2 class path changes (0 additions, 2 deletions, 0 modifications)
2024-05-14 22:20:14.288 INFO  o.a.coyote.http11.Http11NioProtocol - Stopping ProtocolHandler ["http-nio-8080"]
2024-05-14 22:20:14.292 INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-05-14 22:20:14.293 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Shutdown initiated...
2024-05-14 22:20:14.298 INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-3 - Shutdown completed.
2024-05-14 22:20:14.404 INFO  e.e.e.ErezProjectApplication - Starting ErezProjectApplication using Java 21.0.2 with PID 48968 (C:\Users\Erez\Dropbox\From Google Drive\HackerU\JavaSpringSql\ErezProject\target\classes started by Erez in C:\Users\Erez\Dropbox\From Google Drive\HackerU\JavaSpringSql\ErezProject)
2024-05-14 22:20:14.404 INFO  e.e.e.ErezProjectApplication - No active profile set, falling back to 1 default profile: "default"
2024-05-14 22:20:14.616 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2024-05-14 22:20:14.629 INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 13 ms. Found 4 JPA repository interfaces.
2024-05-14 22:20:14.733 INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
